Year,Average Closing Price,Year Open,Year High,Year Low,Year Close,Annual %Change
2023,$0.84,$0.83,$0.90,$0.76,$0.83,0.00%
2022,$1.13,$1.13,$1.55,$0.72,$0.83,-26.29%
2021,$0.93,$0.79,$1.20,$0.78,$1.13,44.14%
2020,$0.64,$0.69,$0.78,$0.48,$0.78,13.14%
2019,$0.67,$0.71,$0.79,$0.58,$0.69,-4.36%
2018,$0.82,$0.78,$0.95,$0.72,$0.72,-8.18%
2017,$0.73,$0.72,$0.85,$0.67,$0.79,11.30%
2016,$0.66,$0.63,$0.77,$0.56,$0.71,11.65%
2015,$0.63,$0.60,$0.69,$0.57,$0.63,4.99%
2014,$0.76,$0.84,$0.95,$0.59,$0.60,-28.79%
2013,$0.84,$0.75,$0.93,$0.75,$0.85,12.64%
2012,$0.80,$0.96,$0.99,$0.67,$0.75,-18.15%
2011,$1.36,$1.42,$2.14,$0.85,$0.92,-36.61%
2010,$0.94,$0.76,$1.59,$0.67,$1.45,91.55%
2009,$0.57,$0.49,$0.76,$0.41,$0.76,54.22%
2008,$0.64,$0.69,$0.89,$0.39,$0.49,-27.92%
2007,$0.58,$0.55,$0.68,$0.47,$0.68,21.04%
2006,$0.52,$0.55,$0.57,$0.46,$0.56,3.69%
2005,$0.51,$0.44,$0.58,$0.43,$0.54,21.04%
2004,$0.55,$0.76,$0.76,$0.42,$0.45,-40.36%
2003,$0.60,$0.52,$0.83,$0.48,$0.75,46.74%
2002,$0.42,$0.36,$0.52,$0.33,$0.51,43.75%
2001,$0.43,$0.60,$0.62,$0.29,$0.36,-42.85%
2000,$0.60,$0.51,$0.68,$0.51,$0.62,22.74%
1999,$0.55,$0.59,$0.63,$0.48,$0.51,-15.94%
1998,$0.69,$0.67,$0.81,$0.60,$0.60,-10.00%
1997,$0.73,$0.75,$0.78,$0.66,$0.67,-10.75%
1996,$0.78,$0.81,$0.88,$0.70,$0.75,-7.28%
1995,$0.93,$0.88,$1.17,$0.73,$0.81,-10.29%
1994,$0.75,$0.68,$0.90,$0.66,$0.90,33.10%
1993,$0.60,$0.58,$0.68,$0.54,$0.68,15.32%
1992,$0.58,$0.60,$0.65,$0.51,$0.59,-0.52%
1991,$0.74,$0.76,$0.94,$0.56,$0.59,-23.95%
1990,$0.74,$0.68,$0.85,$0.65,$0.78,12.64%
1989,$0.68,$0.57,$0.76,$0.56,$0.69,18.09%
1988,$0.60,$0.67,$0.69,$0.50,$0.58,-12.39%
1987,$0.67,$0.59,$0.80,$0.53,$0.67,12.62%
1986,$0.53,$0.62,$0.69,$0.30,$0.59,-4.48%
1985,$0.63,$0.66,$0.70,$0.58,$0.62,-6.21%
1984,$0.73,$0.75,$0.86,$0.63,$0.66,-14.19%
1983,$0.75,$0.66,$0.81,$0.65,$0.77,16.98%
1982,$0.66,$0.65,$0.72,$0.61,$0.66,2.57%
1981,$0.77,$0.95,$0.96,$0.61,$0.64,-32.43%
1980,$0.85,$0.75,$0.98,$0.72,$0.95,28.44%
1979,$0.65,$0.67,$0.74,$0.58,$0.74,9.60%
1978,$0.61,$0.54,$0.72,$0.53,$0.68,25.85%
1977,$0.64,$0.73,$0.82,$0.50,$0.54,-28.60%
1976,$0.72,$0.62,$0.92,$0.57,$0.75,23.54%
1975,$0.48,$0.38,$0.61,$0.38,$0.61,65.18%
1974,$0.57,$0.87,$0.89,$0.37,$0.37,-58.48%
1973,$0.60,$0.36,$0.95,$0.36,$0.89,150.00%
